ID,T1,Year,D1,D2,D3,D4,D5,D6,D7
1,tsai2020elastoscillation,2020,9,11,1,2,5,1,10
2,heo2018thor,2018,15,20,6,2,5,1,10
3,zenner2019drag,2019,7,11,1,2,5,1,10
4,shigeyama2019transcalibur,2019,7,5,1,2,5,1,10
5,zenner2017shifty,2017,7,5,1,2,5,1,2
6,je2019aero,2019,11,11,1,2,5,1,9
7,pielot2012pocketnavigator,2012,13,12,4,2,5,5,9
8,arora2019virtualbricks,2019,6,17,1,2,5,1,1
8,arora2019virtualbricks,2019,6,17,1,2,5,1,5
8,arora2019virtualbricks,2019,10,17,1,2,5,1,1
8,arora2019virtualbricks,2019,10,17,1,2,5,1,5
9,zhu2019haptwist,2019,6,17,1,2,5,3,9
10,strasnick2018haptic,2018,10,9,1,2,5,1,2
10,strasnick2018haptic,2018,10,10,1,2,5,1,2
11,yamaoka2013depend,2013,13,13,6,2,5,1,2
12,hu2019pneu,2019,6,7,1,2,2,1,5
13,teng2018pupop,2018,6,7,1,2,2,1,5
14,suzuki2020lifttiles,2020,6,4,1,2,1,1,5
14,suzuki2020lifttiles,2020,6,4,1,2,1,1,1
15,carter2013ultrahaptics,2013,13,19,4,2,5,1,9
16,kim2013tactile,2013,3,1,2,2,5,1,9
17,sonar2016soft,2015,15,19,4,4,6,1,9
18,stanley2014d13,2015,1,17,2,1,6,1,10
18,stanley2014d13,2015,6,17,2,1,6,1,10
19,gugenheimer2016gyrovr,2016,12,19,6,3,3,1,10
20,teng2019aarnio,2019,12,19,6,1,5,1,1
21,ye2019pull,2019,12,19,6,2,1,2,9
22,cheng2017mutual,2017,12,19,7,1,1,7,9
23,cheng2015turkdeck,2015,14,4,1,1,4,7,6
24,suzuki2020roomshift,2020,14,17,1,1,4,1,6
25,kim2013haptic,2013,10,13,4,1,5,1,9
26,whitmire2018haptic,2018,14,4,2,2,5,1,10
27,hoppe2018vrhapticdrones,2018,14,4,2,1,4,1,9
28,araujo2016snake,2016,14,4,2,1,1,1,9
29,fang2020wireality,2020,6,4,6,3,2,1,7
30,yatani2012spacesense,2012,13,19,4,3,5,1,1
31,rekimoto2014traxion,2013,13,19,6,1,5,2,9
32,tsai2019elasticvr,2019,1,3,6,3,2,1,7
32,tsai2019elasticvr,2019,1,3,6,3,2,1,3
32,tsai2019elasticvr,2019,11,3,6,3,2,1,7
32,tsai2019elasticvr,2019,11,3,6,3,2,1,3
33,choi2016wolverine,2016,6,7,6,3,2,1,8
34.1,hinchet2018dextres,2018,15,8,6,3,2,2,7
34.2,hinchet2018dextres,2018,15,19,4,3,3,1,9
35,lee2019torc,2019,3,1,6,2,5,1,9
35,lee2019torc,2019,3,3,6,2,5,1,9
35,lee2019torc,2019,1,1,6,2,5,1,9
35,lee2019torc,2019,1,3,6,2,5,1,9
36.1,choi2017grabity,2017,1,3,6,2,5,1,8
36.1,choi2017grabity,2017,4,3,6,2,5,1,8
36.2,choi2017grabity,2017,8,5,5,2,5,1,8
37.1,choi2018claw,2018,4,18,6,3,5,1,9
37.1,choi2018claw,2018,4,15,6,3,5,1,9
37.1,choi2018claw,2018,4,3,6,3,5,1,9
37.1,choi2018claw,2018,10,18,6,3,5,1,9
37.1,choi2018claw,2018,10,15,6,3,5,1,9
37.1,choi2018claw,2018,10,3,6,3,5,1,9
37.2,choi2018claw,2018,3,18,4,3,5,1,9
37.2,choi2018claw,2018,3,15,4,3,5,1,9
37.2,choi2018claw,2018,3,3,4,3,5,1,9
38,sinclair2019capstancrunch,2019,1,18,6,3,2,1,7
38,sinclair2019capstancrunch,2019,1,15,6,3,2,1,7
38,sinclair2019capstancrunch,2019,1,3,6,3,2,1,7
38,sinclair2019capstancrunch,2019,4,18,6,3,2,1,7
38,sinclair2019capstancrunch,2019,4,15,6,3,2,1,7
38,sinclair2019capstancrunch,2019,4,3,6,3,2,1,7
39,zhou2014rml,2015,1,3,6,3,2,1,2
39,zhou2014rml,2015,1,4,6,3,2,1,2
39,zhou2014rml,2015,6,3,6,3,2,1,2
39,zhou2014rml,2015,6,4,6,3,2,1,2
40,ben2014sensing,2015,15,14,6,3,2,1,2
41,sarakoglou2016hexotrac,2016,1,3,6,3,2,1,2
41,sarakoglou2016hexotrac,2016,1,4,6,3,2,1,2
41,sarakoglou2016hexotrac,2016,6,3,6,3,2,1,2
41,sarakoglou2016hexotrac,2016,6,4,6,3,2,1,2
42,gabardi2016new,2016,3,1,4,3,3,1,2
42,gabardi2016new,2016,3,1,5,3,3,1,2
42,gabardi2016new,2016,3,4,4,3,3,1,2
42,gabardi2016new,2016,3,4,5,3,3,1,2
43,kim2016hapthimble,2016,3,1,4,3,3,1,2
