ID,T1,Year,Haptic Sensations,Correlated User Manipulation,Stimulus,Interfacing method,Ground method,Actuating mechanism,Simple to complex mechanism
1,tsai2020elastoscillation,2020,1.3.3 Mass Redistribution/Damped Oscillation,8.0 Shaking,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others
2,heo2018thor,2018,Not Specified,Not Specified,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others
3,zenner2019drag,2019,1.2.2 Shape&1.3.1 Mass,8.0 Shaking,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others
4,shigeyama2019transcalibur,2019,1.2.2 Shape&1.3.1 Mass,4.0 Unsupported Holding,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,Others
5,zenner2017shifty,2017,1.2.2 Shape&1.3.1 Mass,4.0 Unsupported Holding,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
6,je2019aero,2019,1.5 Force/Motion,8.0 Shaking,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,None
7,pielot2012pocketnavigator,2012,3.0 Abstracted,9.0 Scanning,2.0 Vibration,2.0 Grasped/ fixed gesture,5.0 Ungrounded,4.0 Exsiting Devices,None
8,arora2019virtualbricks,2019,1.2.2 Shape,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
8,arora2019virtualbricks,2019,1.2.2 Shape,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,5.0 Modularization
8,arora2019virtualbricks,2019,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,1.0 Spatial Distribution
8,arora2019virtualbricks,2019,1.4  Mechanical Mechanisms,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,5.0 Modularization
9,zhu2019haptwist,2019,1.2.2 Shape,All,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,3.0 Passive,None
10,strasnick2018haptic,2018,1.4  Mechanical Mechanisms,6.0 Function Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
10,strasnick2018haptic,2018,1.4  Mechanical Mechanisms,7.0 Part Motion Test,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
11,yamaoka2013depend,2013,3.0 Abstracted,9.1. Tool-Mediated,2.3 Forces/Constraint Across Joint,2.0 Grasped/ fixed gesture,5.0 Ungrounded,1.0 Off-The-Shelf Components,2.0 Mechanical Mechanism
12,hu2019pneu,2019,1.2.2 Shape,5.0 Enclosure,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,5.0 Modularization
13,teng2018pupop,2018,1.2.2 Shape,5.0 Enclosure,1.0 Whole Proximate Object,2.0 Grasped/ fixed gesture,2.0 Grounded-On-Different-Body-Part,1.0 Off-The-Shelf Components,5.0 Modularization
